time,session,turn_id,path,language,finalize_reason,stt_first_partial_ms,stt_first_final_ms,llm_first_token_ms,llm_final_token_ms,tts_first_audio_ms,tts_first_audio_from_stt_ms,tts_final_audio_ms,tts_final_audio_from_stt_ms,turn_total_e2e_ms,prompt_tokens,completion_tokens,llm_calls,stt_audio_s,tts_chars,transcript,llm_response,tts_input
2026-07-18T11:01:53+00:00,livekit:device:00163eacb538,1,greeting,hi-IN,greeting_fallback_only_complete,0,0,0,0,389,0,2129,0,5227,0,0,0,0.0,60,,,"Hi! I am Cheeko, your fun friend. Ready for an awesome chat?"
2026-07-18T11:02:03+00:00,livekit:device:00163eacb538,2,user_turn,en-IN,turn_done_callback,2530,2530,1346,5568,1693,4224,3284,5815,8843,1672,17,1,2.27,53,Can you listen to me right now?,"[neutral] അതെ, എനിക്ക് ഇപ്പോൾ നിങ്ങൾ പറയുന്നത് കേൾക്കാൻ കഴിയും.","അതെ, എനിക്ക് ഇപ്പോൾ നിങ്ങൾ പറയുന്നത് കേൾക്കാൻ കഴിയും."
2026-07-18T11:02:08+00:00,livekit:device:00163eacb538,3,user_turn,en-IN,turn_sync_complete,1073,1073,1009,1738,1268,2342,0,0,3884,1693,13,1,2.91,35,Speak in English always,"[neutral] ശരി, നിങ്ങൾക്ക് എന്താണ് അറിയേണ്ടത്?","ശരി, നിങ്ങൾക്ക് എന്താണ് അറിയേണ്ടത്?"
2026-07-18T11:02:09+00:00,livekit:device:00163eacb538,4,user_turn,en-IN,turn_canceled,0,0,0,0,0,0,0,0,2016,0,0,0,1.86,0,Until I say other language,,
2026-07-18T11:02:16+00:00,livekit:device:00163eacb538,5,user_turn,en-IN,turn_done_callback,0,0,1015,6010,1352,0,3238,0,6747,1718,20,1,0.0,78,,"[neutral] Okay, I will speak in English until you tell me to switch to another language.","Okay, I will speak in English until you tell me to switch to another language."
2026-07-18T11:02:26+00:00,livekit:device:00163eacb538,6,user_turn,en-IN,turn_done_callback,1490,1490,1474,5527,1698,3189,2480,3971,8064,1747,20,1,1.63,49,"Okay, what is your name?",[neutral] I am a large language model. [neutral] I do not have a name.,I am a large language model. | I do not have a name.
2026-07-18T11:02:29+00:00,livekit:device:00163eacb538,7,user_turn,en-IN,turn_canceled,333,333,0,0,0,0,0,0,1870,0,0,0,2.14,0,"Okay, how old are you?",,
2026-07-18T11:02:35+00:00,livekit:device:00163eacb538,8,user_turn,en-IN,turn_done_callback,0,0,772,5066,987,0,1907,0,6025,1778,17,1,0.0,56,,"[neutral] I am an artificial intelligence, so I do not have an age.","I am an artificial intelligence, | so I do not have an age."
2026-07-18T11:02:39+00:00,livekit:device:00163eacb538,9,user_turn,en-IN,turn_canceled,627,627,0,0,0,0,0,0,2018,0,0,0,2.66,0,ਸਤਿ ਸ੍ਰੀ ਅਕਾਲ।,,
2026-07-18T11:02:46+00:00,livekit:device:00163eacb538,10,user_turn,pa-IN,turn_done_callback,0,0,1811,6287,2161,0,4024,0,7135,1504,30,1,0.0,45,,[neutral] ਸਤਿ ਸ੍ਰੀ ਅਕਾਲ। [neutral] ਮੈਂ ਤੁਹਾਡੀ ਕੀ ਮਦਦ ਕਰ ਸਕਦਾ ਹਾਂ?,ਸਤਿ ਸ੍ਰੀ ਅਕਾਲ। ਮੈਂ ਤੁਹਾਡੀ ਕੀ ਮਦਦ ਕਰ ਸਕਦਾ ਹਾਂ?
2026-07-18T11:02:49+00:00,livekit:device:00163eacb538,11,user_turn,pa-IN,turn_canceled,1065,1065,0,0,0,0,0,0,2032,0,0,0,2.4,0,Task what is two plus,,
2026-07-18T11:02:49+00:00,livekit:device:00163eacb538,12,user_turn,pa-IN,turn_canceled,0,0,0,0,0,0,0,0,343,0,0,0,0.67,0,Plus Three,,
2026-07-18T11:02:53+00:00,livekit:device:00163eacb538,13,user_turn,en-IN,turn_done_callback,0,0,1049,3055,1398,0,2025,0,3799,1547,9,1,0.0,23,,[neutral] Two plus three is five.,Two plus three is five.
2026-07-18T11:02:58+00:00,livekit:device:00163eacb538,14,user_turn,en-IN,turn_canceled,1892,1892,0,0,0,0,0,0,2785,0,0,0,3.23,0,Three Animals,,
2026-07-18T11:03:05+00:00,livekit:device:00163eacb538,15,user_turn,en-IN,turn_done_callback,0,0,1059,6107,1270,0,1546,0,7370,1565,22,1,0.0,62,,"[neutral] Of course. [neutral] Three animals are a lion, an elephant, and a giraffe.","Of course. | Three animals are a lion, an elephant, | and a giraffe."
2026-07-18T11:03:09+00:00,livekit:device:00163eacb538,16,user_turn,en-IN,turn_canceled,2494,2494,0,0,0,0,0,0,3254,0,0,0,3.33,0,The Sky,,
2026-07-18T11:03:13+00:00,livekit:device:00163eacb538,17,user_turn,en-IN,turn_done_callback,0,0,1103,2736,1332,0,1922,0,3460,1600,8,1,0.0,16,,[neutral] The sky is blue.,The sky is blue.
2026-07-18T11:03:16+00:00,livekit:device:00163eacb538,18,user_turn,en-IN,turn_canceled,556,556,0,0,0,0,0,0,2010,0,0,0,2.59,0,Do you like mangoes?,,
2026-07-18T11:03:25+00:00,livekit:device:00163eacb538,19,user_turn,en-IN,turn_done_callback,0,0,664,7856,891,0,2626,0,8824,1618,29,1,0.0,103,,"[neutral] As an AI, I do not have personal preferences or the ability to eat, so I do not like or dislike mangoes.","As an AI, I do not have personal preferences or the ability to eat, | so I do not like or dislike mangoes."
2026-07-18T11:03:36+00:00,livekit:device:00163eacb538,20,user_turn,en-IN,turn_done_callback,2159,2159,2366,6490,2586,4748,3504,5665,9613,3461,28,2,2.21,59,"Okay, what day is today?","[neutral] Today is Saturday, July eighteenth, two thousand twenty-six.","Today is Saturday, July eighteenth, | two thousand twenty-six."
2026-07-18T11:03:40+00:00,livekit:device:00163eacb538,21,user_turn,en-IN,turn_canceled,1030,1030,1072,0,1302,2332,0,0,2603,0,0,0,1.92,11,10,,"Yes, I can."
2026-07-18T11:03:40+00:00,livekit:device:00163eacb538,22,user_turn,en-IN,turn_canceled,0,0,0,0,0,0,0,0,39,0,0,0,1.12,0,Can you count?,,
2026-07-18T11:03:41+00:00,livekit:device:00163eacb538,23,user_turn,en-IN,turn_canceled,0,0,1033,0,1350,0,0,0,1500,0,0,0,1.66,17,From one to five,,"Yes, I can count."
2026-07-18T11:03:48+00:00,livekit:device:00163eacb538,24,user_turn,en-IN,turn_done_callback,0,0,1168,5302,1483,0,2063,0,6257,1837,22,1,0.0,45,,"[neutral] Yes, I can count. [neutral] One, two, three, four, five.","Yes, I can count. | One, two, three, four, five."
2026-07-18T11:03:55+00:00,livekit:device:00163eacb538,25,user_turn,en-IN,turn_sync_complete,476,476,1063,2321,1287,2765,2169,3648,5754,1862,14,1,3.55,49,"Okay, can you tell me what is the sound a dog makes?",[neutral] Is there anything else I can help you with today?,Is there anything else I can help you with today?
2026-07-18T11:03:59+00:00,livekit:device:00163eacb538,26,user_turn,en-IN,turn_done_callback,0,0,2941,5529,3185,0,4122,0,6257,1892,10,1,0.64,28,,[neutral] A dog makes a barking sound.,A dog makes a barking sound.
2026-07-18T11:04:02+00:00,livekit:device:00163eacb538,27,user_turn,ta-IN,turn_canceled,536,536,1572,0,1888,3428,2272,3811,4076,0,0,0,1.22,5,"Okay, Namaste.",,Okay.
2026-07-18T11:04:04+00:00,livekit:device:00163eacb538,28,user_turn,en-IN,turn_sync_complete,1334,1334,1382,1879,0,0,0,0,3463,1521,6,1,1.63,8,क्या तुमको,[neutral] Namaste.,Namaste.
2026-07-18T11:04:05+00:00,livekit:device:00163eacb538,29,user_turn,en-IN,turn_canceled,0,0,0,0,0,0,0,0,450,0,0,0,0.99,0,मेरे को समस्या है।,,
2026-07-18T11:04:05+00:00,livekit:device:00163eacb538,30,user_turn,en-IN,turn_canceled,0,0,0,0,0,0,0,0,251,0,0,0,0.51,0,मस्त।,,
2026-07-18T11:04:06+00:00,livekit:device:00163eacb538,31,user_turn,en-IN,turn_canceled,0,0,0,0,0,0,0,0,1129,0,0,0,0.93,0,सकता है क्या?,,
2026-07-18T11:04:13+00:00,livekit:device:00163eacb538,32,user_turn,hi-IN,turn_done_callback,0,0,1499,6422,1861,0,3962,0,7159,1548,23,1,0.0,64,,"[neutral] जी हाँ, मैं आपकी समस्या समझने की कोशिश कर सकता हूँ। [neutral] कृपया बताएँ।","जी हाँ, मैं आपकी समस्या समझने की कोशिश कर सकता हूँ। कृपया बताएँ।"
2026-07-18T11:04:20+00:00,livekit:device:00163eacb538,33,user_turn,hi-IN,turn_done_callback,2013,2013,1349,3333,1589,3604,2248,4264,6124,1580,9,1,1.89,21,"ओके, तुम्हारा नाम क्या है?",[neutral] मेरा कोई नाम नहीं है।,मेरा कोई नाम नहीं है।
2026-07-18T11:04:25+00:00,livekit:device:00163eacb538,34,user_turn,hi-IN,turn_canceled,1701,1701,0,0,0,0,0,0,2238,0,0,0,2.59,0,और तीन।,,
2026-07-18T11:04:27+00:00,livekit:device:00163eacb538,35,user_turn,hi-IN,turn_sync_complete,0,0,1328,1599,1574,0,0,0,2177,1601,10,1,1.02,24,कितना है ये?,[neutral] दो और तीन पाँच होते हैं।,दो और तीन पाँच होते हैं।
2026-07-18T11:04:31+00:00,livekit:device:00163eacb538,36,user_turn,hi-IN,turn_done_callback,0,0,2149,3546,2489,0,2932,0,4268,1618,7,1,0.0,11,,[neutral] यह पाँच है।,यह पाँच है।
2026-07-18T11:04:39+00:00,livekit:device:00163eacb538,37,user_turn,hi-IN,turn_sync_complete,1455,1455,1404,2045,1656,4113,0,0,5484,1628,10,1,4.19,23,तीन फलों का नाम बता सकता है क्या?,[curious] आप क्या कहना चाहते हैं?,आप क्या कहना चाहते हैं?
2026-07-18T11:04:46+00:00,livekit:device:00163eacb538,38,user_turn,hi-IN,turn_done_callback,0,0,1909,6622,2213,0,3375,0,7613,1649,20,1,0.0,41,,"[neutral] जी हाँ, मैं बता सकता हूँ। [neutral] सेब, केला और आम।","जी हाँ, मैं बता सकता हूँ। सेब, | केला और आम।"
2026-07-18T11:04:58+00:00,livekit:device:00163eacb538,39,user_turn,hi-IN,turn_done_callback,2616,2616,1559,5854,1771,4388,2575,5193,9425,1498,17,1,2.72,46,मैं तुमको तीन फलों का नाम पूछा।,"[neutral] जी हाँ, और मैंने आपको सेब, केला और आम बताया है।","जी हाँ, और मैंने आपको सेब, | केला और आम बताया है।"
2026-07-18T11:05:02+00:00,livekit:device:00163eacb538,40,user_turn,hi-IN,turn_canceled,2135,2135,0,0,0,0,0,0,2604,0,0,0,2.98,0,कारंग,,
2026-07-18T11:05:02+00:00,livekit:device:00163eacb538,41,user_turn,hi-IN,turn_canceled,0,0,0,0,0,0,0,0,640,0,0,0,0.83,0,क्या है?,,
2026-07-18T11:05:06+00:00,livekit:device:00163eacb538,42,user_turn,hi-IN,turn_done_callback,0,0,1260,3544,1545,0,2348,0,4283,1528,10,1,0.0,26,,[neutral] आसमान का रंग नीला होता है।,आसमान का रंग नीला होता है।
2026-07-18T11:05:11+00:00,livekit:device:00163eacb538,43,user_turn,hi-IN,turn_canceled,874,874,0,0,0,0,0,0,2567,0,0,0,2.5,0,बिल्ली कैसे बोलते हैं?,,
2026-07-18T11:05:15+00:00,livekit:device:00163eacb538,44,user_turn,hi-IN,turn_done_callback,0,0,1422,3751,1662,0,2506,0,4507,1548,16,1,0.0,29,,[neutral] बिल्ली म्याऊँ म्याऊँ करती है।,बिल्ली म्याऊँ म्याऊँ करती है।
