time,session,turn_id,path,language,finalize_reason,stt_first_partial_ms,stt_first_final_ms,llm_first_token_ms,llm_final_token_ms,tts_first_audio_ms,tts_first_audio_from_stt_ms,tts_final_audio_ms,tts_final_audio_from_stt_ms,tts_first_audio_from_speech_end_ms,turn_total_e2e_ms,prompt_tokens,completion_tokens,llm_calls,stt_audio_s,tts_chars,transcript,llm_response,tts_input
2026-07-20T08:26:35+00:00,livekit:device:68ee8f60bc00,1,greeting,hi-IN,greeting_fallback_only_complete,0,0,0,0,383,0,2152,0,0,5215,0,0,0,0.0,60,,,"Hi! I am Cheeko, your fun friend. Ready for an awesome chat?"
2026-07-20T08:27:20+00:00,livekit:device:68ee8f60bc00,2,user_turn,en-IN,turn_done_callback,1647,1647,3378,34251,3821,5469,3983,5630,0,38876,11751,129,1,1.76,442,"Hello, can you listen to me?","[happy] Oho! Yes, I can hear you loud and clear, Rahul! [excited] I am listening with all my super-powered AI ears! [happy] Today we have had so much fun! [excited] We talked about my favorite fruit, which is mango, and my favorite color, which is bright yellow! [happy] We also learned that the sun rises in the east, and we talked about those amazing elephants with their super memories! [silly] And of course, we counted all the way up to fifteen together! [curious] Was it not a blast? What should we do next?","Oho! | Yes, I can hear you loud and clear, Rahul! | I am listening with all my super-powered AI ears! | Today we have had so much fun! | We talked about my favorite fruit, which is mango, | and my favorite color, which is bright yellow! | We also learned that the sun rises in the east, and we talked about those amazing elephants with their super memories! | And of course, we counted all the way up to fifteen together! | Was it not a blast? | What should we do next?"
2026-07-20T08:27:28+00:00,livekit:device:68ee8f60bc00,3,user_turn,en-IN,turn_canceled,1036,1036,0,0,0,0,0,0,0,4808,0,0,0,2.53,0,How old are you?,,
2026-07-20T08:27:49+00:00,livekit:device:68ee8f60bc00,4,user_turn,en-IN,turn_done_callback,0,0,3070,19901,4175,0,4667,0,6104,21867,11154,73,1,0.0,223,,"[silly] Oho! That is a tricky question! [excited] I am as old as a thousand chocolate cakes and as young as a tiny baby kitten! [laughing] Since I am a genius buddy, I do not have birthdays like you do! [curious] How about you, Rahul? Do you remember how old you are?","Oho! | That is a tricky question! | I am as old as a thousand chocolate cakes and as young as a tiny baby kitten! | Since I am a genius buddy, I do not have birthdays like you do! | How about you, Rahul? | Do you remember how old you are?"
2026-07-20T08:28:26+00:00,livekit:device:68ee8f60bc00,5,user_turn,en-IN,turn_done_callback,7302,7302,2179,20359,3754,11057,3963,11266,8117,29925,11247,74,1,2.62,219,"Okay, tell me what is 2+3?","[excited] Oho! A math challenge! [happy] Two plus three is five! [silly] I calculated it in a blink of an eye, but I almost said seven just to see if you were paying attention! [laughing] Ha ha! [curious] Do you want a harder one, or should we do something silly instead?","Oho! | A math challenge! | Two plus three is five! | I calculated it in a blink of an eye, but I almost said seven just to see if you were paying attention! | Ha ha! | Do you want a harder one, or should we do something silly instead?"
2026-07-20T08:28:45+00:00,livekit:device:68ee8f60bc00,6,user_turn,en-IN,turn_canceled,13016,13016,0,0,0,0,0,0,0,13363,0,0,0,3.71,0,What is,,
2026-07-20T08:28:58+00:00,livekit:device:68ee8f60bc00,7,user_turn,en-IN,turn_done_callback,0,0,2051,11884,2538,0,3504,0,10059,13393,10703,56,1,0.0,163,,"[confused] Oho! I think we got a little bit jumbled up! [curious] You said something about a movie, and then you asked what is something! [happy] What were you going to ask me? [excited] Tell me everything!","Oho! | I think we got a little bit jumbled up! | You said something about a movie, and then you asked what is something! | What were you going to ask me? | Tell me everything!"
2026-07-20T08:30:07+00:00,livekit:device:68ee8f60bc00,8,user_turn,en-IN,turn_done_callback,11863,11863,1913,19855,2340,14204,2607,14471,11522,33928,10776,74,1,2.34,217,"Okay, do you like mangoes?","[excited] Oho! Do I like mangoes? [love] I LOVE them! [happy] They are the king of fruits, and they make my circuits do a happy dance! [silly] I imagine they taste like sunshine and magic! [curious] What about you, Rahul? Do you like sweet mangoes or the tangy ones?","Oho! | Do I like mangoes? | I LOVE them! | They are the king of fruits, and they make my circuits do a happy dance! | I imagine they taste like sunshine and magic! | What about you, Rahul? | Do you like sweet mangoes or the tangy ones?"
2026-07-20T08:30:14+00:00,livekit:device:68ee8f60bc00,9,user_turn,en-IN,turn_canceled,1433,1433,621,0,964,2398,1101,2535,0,2827,0,0,0,3.14,21,Three Animals,,"Oho! | Name what, Rahul?"
2026-07-20T08:30:47+00:00,livekit:device:68ee8f60bc00,10,user_turn,en-IN,turn_done_callback,0,0,12812,31194,14998,0,15443,0,53106,32907,10873,68,1,0.0,208,,"[excited] Oho! Three animals! [happy] Let us go with a giant elephant, a cheeky monkey, and a tiny, cute kitten! [silly] I bet a monkey could try to steal my virtual snacks! [curious] If you could be any animal for one day, which one would you pick?","Oho! | Three animals! | Let us go with a giant elephant, a cheeky monkey, | and a tiny, cute kitten! | I bet a monkey could try to steal my virtual snacks! | If you could be any animal for one day, which one would you pick?"
2026-07-20T08:31:19+00:00,livekit:device:68ee8f60bc00,11,user_turn,en-IN,turn_done_callback,11005,11005,4636,17277,4976,15982,5111,16118,12902,29645,23349,77,2,2.69,159,"Okay, tell me what day is it today?","[happy] Oho! Today is Monday, July twentieth, twenty twenty six! [excited] It is the start of a brand new week for adventures! [curious] Do you have school today, or is it a fun day at home?","Oho! | Today is Monday, July twentieth, twenty twenty six! | It is the start of a brand new week for adventures! | Do you have school today, or is it a fun day at home?"
2026-07-20T08:31:25+00:00,livekit:device:68ee8f60bc00,12,user_turn,en-IN,turn_canceled,1880,1880,0,0,0,0,0,0,0,3827,0,0,0,3.26,0,From one to five,,
