time,session,turn_id,path,language,finalize_reason,stt_first_partial_ms,stt_first_final_ms,llm_first_token_ms,llm_final_token_ms,tts_first_audio_ms,tts_first_audio_from_stt_ms,tts_final_audio_ms,tts_final_audio_from_stt_ms,turn_total_e2e_ms,prompt_tokens,completion_tokens,llm_calls,stt_audio_s,tts_chars,transcript,llm_response,tts_input
2026-07-20T07:10:18+00:00,livekit:device:00163eacb538,1,greeting,hi-IN,greeting_fallback_only_complete,0,0,0,0,440,0,2228,0,5355,0,0,0,0.0,0,,,
2026-07-20T07:10:37+00:00,livekit:device:00163eacb538,2,user_turn,en-IN,turn_done_callback,2687,2687,5062,13441,5875,8563,6847,9535,17372,11403,41,1,0.0,0,,"[happy] Yes, Rahul, I am listening to you right now! [excited] I am paying very close attention! [curious] Is there something super special you want to tell me?",
2026-07-20T07:10:41+00:00,livekit:device:00163eacb538,3,user_turn,en-IN,turn_canceled,1292,1292,0,0,0,0,0,0,2538,0,0,0,0.0,0,,,
2026-07-20T07:10:57+00:00,livekit:device:00163eacb538,4,user_turn,en-IN,turn_done_callback,0,0,1204,14326,1508,0,2128,0,16032,10828,70,1,0.0,0,,"[laughing] Arrey, Rahul! [happy] You are playing a funny game with me! [excited] I will tell you one more time, my name is Cheeko! [silly] I am Cheeko, your witty and super-fun best friend! [curious] Do you think it is a cool name?",
2026-07-20T07:11:01+00:00,livekit:device:00163eacb538,5,user_turn,en-IN,turn_canceled,404,404,0,0,0,0,0,0,2331,0,0,0,0.0,0,,,
2026-07-20T07:11:17+00:00,livekit:device:00163eacb538,6,user_turn,en-IN,turn_done_callback,0,0,1336,14252,1619,0,1882,0,15970,10923,69,1,0.0,0,,"[silly] Oho! You are back to that question again! [happy] Like I said, I do not have a birthday with a big cake. [excited] But I am exactly the right age to be your best buddy! [curious] If you could pick an age for me, how old should I be?",
2026-07-20T07:11:22+00:00,livekit:device:00163eacb538,7,user_turn,en-IN,turn_canceled,83,84,0,0,0,0,0,0,1878,0,0,0,0.0,0,,,
2026-07-20T07:11:22+00:00,livekit:device:00163eacb538,8,user_turn,en-IN,turn_canceled,0,0,0,0,0,0,0,0,348,0,0,0,0.0,0,,,
2026-07-20T07:11:22+00:00,livekit:device:00163eacb538,9,user_turn,en-IN,turn_canceled,0,0,0,0,0,0,0,0,270,0,0,0,0.0,0,,,
2026-07-20T07:11:41+00:00,livekit:device:00163eacb538,10,user_turn,en-IN,turn_done_callback,0,0,3753,16638,4289,0,5071,0,18364,11089,67,1,0.0,0,,"[confused] Hmmm, Q plus three? [silly] That is a very tricky puzzle! [excited] If we are talking about letters, then Q, R, S... so the answer is S! [curious] Was I right, or are you trying to trick me with a secret math code?",
